hostname,vm,front_ip,front_mask,front_gw,back_ip,back_mask,back_gw,left_ip,left_mask,left_gw,right_ip,right_mask,right_gw
Card1,AVP_40GbE,,,,10.1.10.101,24,10.1.10.1,10.101.1.101,24,10.101.1.1,10.201.1.101,24,10.201.1.1
Card2,AVP_40GbE,,,,10.1.10.102,24,10.1.10.1,10.101.1.102,24,10.101.1.1,10.201.1.102,24,10.201.1.1
